timestamp,value
2026-04-25T13:42:58.282991+00:00,1
2026-04-25T13:43:01.389934+00:00,19980
2026-04-25T13:58:20.939277+00:00,7192
2026-04-25T13:58:24.094435+00:00,8847
2026-04-25T13:58:27.169073+00:00,38309
2026-04-25T13:58:30.190270+00:00,119993
2026-04-25T13:58:33.273291+00:00,1
2026-04-25T13:58:36.296167+00:00,19980
2026-04-25T13:58:39.325356+00:00,29999
2026-04-25T13:58:42.422222+00:00,99971
2026-04-25T13:58:45.540251+00:00,312995
2026-04-25T13:58:48.666126+00:00,1
2026-04-25T13:58:51.790309+00:00,59989
2026-04-25T13:58:54.897082+00:00,90000
2026-04-25T13:58:57.995562+00:00,269955
2026-04-25T14:04:52.982162+00:00,7192
2026-04-25T14:04:56.127632+00:00,8847
2026-04-25T14:04:59.287986+00:00,38309
2026-04-25T14:05:02.376996+00:00,119993
2026-04-25T14:05:05.525604+00:00,1
2026-04-25T14:05:08.685704+00:00,19980
2026-04-25T14:05:11.721300+00:00,29998
2026-04-25T14:12:42.000248+00:00,34973
2026-04-25T14:12:45.018333+00:00,39988
2026-04-25T14:12:48.152801+00:00,68999
2026-04-25T14:12:51.226182+00:00,1
2026-04-25T14:12:54.321124+00:00,1
2026-04-25T14:32:00.774437+00:00,34973
2026-04-25T14:32:03.814431+00:00,39988
2026-04-25T14:32:06.863880+00:00,68999
2026-04-25T14:32:09.904128+00:00,1
2026-04-25T14:32:13.061229+00:00,1
2026-04-25T14:32:16.179772+00:00,25071
2026-04-25T14:32:19.278899+00:00,55553
2026-04-25T14:32:22.277762+00:00,1
2026-04-25T14:32:25.315883+00:00,1
2026-04-25T14:32:28.394631+00:00,1
2026-04-25T14:32:31.531745+00:00,45983
2026-04-25T14:32:34.647233+00:00,135987
2026-04-25T14:32:37.754416+00:00,699999
2026-04-25T14:32:40.754795+00:00,1
2026-04-25T14:32:43.778569+00:00,1
2026-04-25T14:32:46.791747+00:00,165992
2026-04-25T14:32:49.878045+00:00,450212
2026-04-25T14:32:52.978962+00:00,1
2026-04-25T14:32:56.029107+00:00,1
2026-04-25T14:32:59.123170+00:00,1
2026-04-25T14:33:07.174563+00:00,499988
2026-04-25T14:33:10.312707+00:00,1699999
2026-04-25T14:33:13.414934+00:00,1
2026-04-25T14:33:16.429240+00:00,1
2026-04-25T14:33:19.504954+00:00,1
2026-04-25T14:33:22.550133+00:00,1
2026-04-25T14:33:25.643695+00:00,349999
2026-04-25T14:33:28.737228+00:00,328000
2026-04-25T14:33:31.767149+00:00,549969
2026-04-25T14:33:34.837261+00:00,1
2026-04-25T14:33:37.973075+00:00,1
2026-04-25T14:33:41.058710+00:00,1
2026-04-25T14:33:44.136493+00:00,1
2026-04-25T14:33:47.193877+00:00,1400000
2026-04-25T14:33:50.270182+00:00,1
2026-04-25T14:33:53.440262+00:00,1
2026-04-25T14:33:56.518736+00:00,1
2026-04-25T14:33:59.609570+00:00,1
2026-04-25T14:34:02.703336+00:00,1
2026-04-25T14:34:05.733476+00:00,1
2026-04-25T14:34:13.832283+00:00,1
2026-04-25T14:34:16.958824+00:00,1
2026-04-25T14:34:19.997404+00:00,1
2026-04-25T14:34:23.100964+00:00,1
2026-04-25T14:34:26.222425+00:00,1
2026-04-25T14:34:29.296100+00:00,1
2026-04-25T14:34:32.316512+00:00,1
2026-04-25T14:34:35.392549+00:00,1
2026-04-25T14:34:38.432535+00:00,1
2026-04-25T14:34:41.516295+00:00,1
2026-04-25T14:34:44.624068+00:00,350000
2026-04-25T14:34:47.709592+00:00,369999
2026-04-25T14:34:50.702724+00:00,1
2026-04-25T14:34:53.801587+00:00,549999
2026-04-25T14:34:56.897007+00:00,1
2026-04-25T14:34:59.946626+00:00,1
2026-04-25T14:35:03.006915+00:00,888888
2026-04-25T14:35:06.108389+00:00,1
2026-04-25T14:35:09.139427+00:00,1399999
2026-04-25T14:35:12.254682+00:00,1
2026-04-25T14:35:20.267756+00:00,1
2026-04-25T14:35:23.333873+00:00,2499999
2026-04-25T14:35:26.406624+00:00,1
2026-04-25T14:35:29.539720+00:00,1
2026-04-25T14:35:32.642161+00:00,1
2026-04-25T14:35:35.742102+00:00,1
2026-04-25T14:35:38.790113+00:00,1
2026-04-25T14:35:41.881603+00:00,1
2026-04-25T14:35:44.961842+00:00,1
2026-04-25T14:35:48.089075+00:00,1
2026-04-25T14:35:51.156737+00:00,1
2026-04-25T14:35:54.288605+00:00,1
2026-04-25T14:35:57.442906+00:00,1
2026-04-25T14:36:00.450225+00:00,1
2026-04-25T14:36:03.580963+00:00,1
2026-04-25T14:36:06.700388+00:00,1
2026-04-25T14:36:09.730889+00:00,1
2026-04-25T14:36:12.793608+00:00,1
2026-04-25T14:36:15.909195+00:00,61
2026-04-25T14:36:19.019293+00:00,1
2026-04-25T14:36:27.085288+00:00,1
2026-04-25T14:36:30.143738+00:00,1
2026-04-25T14:36:33.228813+00:00,1
2026-04-25T14:36:36.249934+00:00,1
2026-04-25T14:36:39.255679+00:00,1
2026-04-25T14:36:42.245327+00:00,1
2026-04-25T14:36:45.301133+00:00,1
2026-04-25T14:36:48.313264+00:00,1
2026-04-25T14:36:51.348037+00:00,1
2026-04-25T14:36:54.434241+00:00,1
2026-04-25T14:36:57.441715+00:00,1
2026-04-25T14:37:00.520333+00:00,1
2026-04-25T14:37:03.633772+00:00,1
2026-04-25T14:37:06.745933+00:00,1
2026-04-25T14:37:09.761892+00:00,1
2026-04-25T14:37:12.841486+00:00,1
2026-04-25T14:37:15.881048+00:00,1
2026-04-25T14:37:18.930848+00:00,1
2026-04-25T14:37:21.926967+00:00,1
2026-04-25T14:37:24.939722+00:00,1
2026-04-25T14:37:32.961406+00:00,26979
2026-04-25T14:37:36.068910+00:00,27936
2026-04-25T14:37:39.158338+00:00,139987
2026-04-25T14:37:42.215595+00:00,421661
2026-04-25T14:37:45.274996+00:00,1
2026-04-25T14:37:48.401215+00:00,40000
2026-04-25T14:37:51.449034+00:00,100979
2026-04-25T14:37:54.550774+00:00,339999
2026-04-25T14:37:57.661969+00:00,1
2026-04-25T14:38:00.728532+00:00,1
2026-04-25T14:38:03.759774+00:00,1
2026-04-25T14:38:06.797745+00:00,299999
2026-04-25T14:38:09.886101+00:00,777777
2026-04-25T14:38:12.944751+00:00,1
2026-04-25T14:38:15.990861+00:00,1
2026-04-25T14:38:19.035568+00:00,334332
2026-04-25T14:38:22.087725+00:00,1
2026-04-25T14:38:25.135857+00:00,1
2026-04-25T14:38:28.230470+00:00,1
2026-04-25T14:38:31.316400+00:00,1
2026-04-25T14:38:39.435365+00:00,999999
2026-04-25T14:38:42.514450+00:00,1
2026-04-25T14:38:45.617027+00:00,1
2026-04-25T14:38:48.724713+00:00,1
2026-04-25T14:38:51.854442+00:00,1
2026-04-25T14:38:54.924172+00:00,15549
2026-04-25T14:38:57.992672+00:00,23885
2026-04-25T14:39:01.070421+00:00,42999
2026-04-25T14:39:04.122114+00:00,189981
2026-04-25T14:39:07.156887+00:00,1
2026-04-25T14:39:10.257948+00:00,32218
2026-04-25T14:39:13.294100+00:00,34986
2026-04-25T14:39:16.384245+00:00,192992
2026-04-25T14:39:19.536381+00:00,1
2026-04-25T14:39:22.571542+00:00,1
2026-04-25T14:39:25.654444+00:00,60966
2026-04-25T14:39:28.782509+00:00,99993
2026-04-25T14:39:31.898475+00:00,699998
2026-04-25T14:39:34.964035+00:00,1
2026-04-25T14:50:50.360264+00:00,1
2026-04-25T14:51:03.743556+00:00,190000
2026-04-25T14:51:06.844256+00:00,499991
2026-04-25T14:51:09.968542+00:00,1
2026-04-25T14:51:13.105033+00:00,1
2026-04-25T14:51:16.155074+00:00,1
2026-04-25T14:51:19.267767+00:00,555550
2026-04-25T14:51:22.398968+00:00,1
2026-04-25T14:51:25.498823+00:00,1
2026-04-25T14:51:28.536482+00:00,1
2026-04-25T14:51:31.639407+00:00,1
2026-04-25T14:51:34.692666+00:00,137984
2026-04-25T14:51:37.825510+00:00,119212
2026-04-25T14:51:40.894867+00:00,143000
2026-04-25T14:51:43.957515+00:00,258888
2026-04-25T14:51:47.088511+00:00,1
2026-04-25T14:51:50.115962+00:00,1
2026-04-25T14:51:58.283087+00:00,259998
2026-04-25T14:52:01.381268+00:00,295000
2026-04-25T14:52:04.393089+00:00,700000
2026-04-25T14:52:07.489827+00:00,3150000
2026-04-25T14:52:10.583059+00:00,1
2026-04-25T14:52:13.714746+00:00,359983
2026-04-25T14:52:16.779087+00:00,700000
2026-04-25T14:52:19.870663+00:00,1
2026-04-25T14:52:22.899366+00:00,1
2026-04-25T14:52:25.980767+00:00,1
2026-04-25T14:52:29.080601+00:00,1
2026-04-25T14:52:32.165360+00:00,1
2026-04-25T14:52:35.283471+00:00,1
2026-04-25T14:52:38.286504+00:00,1
2026-04-25T14:52:41.382373+00:00,1
2026-04-25T14:52:44.510275+00:00,1
2026-04-25T14:52:47.615935+00:00,1
2026-04-25T14:52:50.686339+00:00,1
2026-04-25T14:52:53.700321+00:00,1
2026-04-25T14:52:56.833087+00:00,15899
2026-04-25T14:53:04.925035+00:00,39999
2026-04-25T14:53:07.985450+00:00,1
2026-04-25T14:53:11.115446+00:00,199997
2026-04-25T14:53:14.148948+00:00,1
2026-04-25T14:53:17.151667+00:00,99998
2026-04-25T14:53:20.242848+00:00,136968
2026-04-25T14:53:23.371261+00:00,309982
2026-04-25T14:53:26.413451+00:00,647888
2026-04-25T14:53:29.510036+00:00,1
2026-04-25T14:53:32.616041+00:00,166662
2026-04-25T14:53:35.678994+00:00,199999
2026-04-25T14:53:38.719003+00:00,539993
2026-04-25T14:53:41.733385+00:00,1
2026-04-25T14:53:44.903460+00:00,1
2026-04-25T14:53:48.042457+00:00,342069
2026-04-25T14:53:51.120263+00:00,1
2026-04-25T14:53:54.237012+00:00,1
2026-04-25T14:53:57.380596+00:00,1
2026-04-25T14:54:00.437704+00:00,1
2026-04-25T14:54:03.558701+00:00,549995
2026-04-25T14:54:11.673475+00:00,1
2026-04-25T14:54:14.716295+00:00,1
2026-04-25T15:42:50.859639+00:00,7192
2026-04-25T15:42:53.989985+00:00,8845
2026-04-25T15:43:06.871485+00:00,38309
2026-04-25T15:43:09.929580+00:00,119993
2026-04-25T15:43:13.070106+00:00,1
2026-04-25T15:43:16.083374+00:00,19980
2026-04-25T15:43:19.193289+00:00,33330
2026-04-25T15:43:22.215750+00:00,99971
2026-04-25T15:43:25.255112+00:00,312995
2026-04-25T15:43:28.366707+00:00,1
2026-04-25T15:43:31.381673+00:00,59989
2026-04-25T15:43:34.478310+00:00,99990
2026-04-25T15:43:37.616661+00:00,269955
2026-04-25T15:43:40.748054+00:00,1000000
2026-04-25T15:43:43.813741+00:00,1
2026-04-25T15:43:46.904764+00:00,159999
2026-04-25T15:43:49.969381+00:00,270000
2026-04-25T15:43:58.034213+00:00,999999
2026-04-25T15:44:01.109847+00:00,1
2026-04-25T15:44:04.114010+00:00,1
2026-04-25T15:44:07.184680+00:00,309998
2026-04-25T15:44:10.216341+00:00,1009966
2026-04-25T15:44:13.255336+00:00,1
2026-04-25T15:44:16.301602+00:00,1
2026-04-25T15:44:19.392931+00:00,1
2026-04-25T15:44:22.476161+00:00,43992
2026-04-25T15:44:25.513176+00:00,39996
2026-04-25T15:44:28.676533+00:00,69993
2026-04-25T15:44:31.727223+00:00,125441
